#     MHz     10*Log10(L.P)   Imag(A.Z)
15.9056          -15.0407     -555.629
15.9057          -14.9836     -551.860
15.9059          -14.9253     -548.028
15.9060          -14.8655     -544.129
15.9062          -14.8043     -540.164
15.9063          -14.7415     -536.128
15.9065          -14.6773     -532.022
15.9066          -14.6114     -527.843
15.9068          -14.5438     -523.589
15.9069          -14.4745     -519.257
15.9071          -14.4034     -514.847
15.9072          -14.3304     -510.355
15.9074          -14.2555     -505.779
15.9075          -14.1785     -501.118
15.9077          -14.0993     -496.368
15.9078          -14.0180     -491.527
15.9080          -13.9343     -486.592
15.9081          -13.8481     -481.561
15.9083          -13.7595     -476.431
15.9084          -13.6682     -471.198
15.9086          -13.5741     -465.861
15.9087          -13.4771     -460.414
15.9089          -13.3770     -454.856
15.9090          -13.2737     -449.182
15.9092          -13.1671     -443.390
15.9093          -13.0569     -437.474
15.9095          -12.9430     -431.432
15.9096          -12.8252     -425.259
15.9098          -12.7032     -418.951
15.9099          -12.5769     -412.503
15.9101          -12.4460     -405.911
15.9102          -12.3102     -399.169
15.9104          -12.1692     -392.273
15.9105          -12.0227     -385.218
15.9107          -11.8705     -377.997
15.9108          -11.7120     -370.604
15.9110          -11.5470     -363.034
15.9111          -11.3750     -355.280
15.9113          -11.1956     -347.335
15.9114          -11.0081     -339.193
15.9116          -10.8121     -330.845
15.9117          -10.6070     -322.283
15.9119          -10.3920     -313.501
15.9120          -10.1665     -304.487
15.9122          -9.92957     -295.235
15.9123          -9.68041     -285.733
15.9125          -9.41801     -275.972
15.9126          -9.14129     -265.940
15.9128          -8.84907     -255.627
15.9129          -8.54004     -245.021
15.9131          -8.21279     -234.108
15.9132          -7.86579     -222.876
15.9134          -7.49739     -211.309
15.9135          -7.10586     -199.393
15.9137          -6.68945     -187.112
15.9138          -6.24645     -174.449
15.9140          -5.77543     -161.385
15.9141          -5.27547     -147.902
15.9143          -4.74671     -133.978
15.9144          -4.19116     -119.591
15.9146          -3.61399     -104.719
15.9147          -3.02563     -89.3367
15.9149          -2.44449     -73.4165
15.9150          -1.90045     -56.9300
15.9152          -1.43733     -39.8466
15.9153          -1.11156     -22.1330
15.9155         -0.982400     -3.75395
15.9156          -1.09328      15.3290
15.9158          -1.45306      35.1569
15.9159          -2.03179      55.7744
15.9161          -2.77469      77.2296
15.9162          -3.62256      99.5747
15.9164          -4.52578      122.866
15.9165          -5.44888      147.165
15.9167          -6.36914      172.539
15.9168          -7.27333      199.061
15.9170          -8.15458      226.809
15.9171          -9.00998      255.873
15.9173          -9.83901      286.346
15.9174          -10.6425      318.335
15.9176          -11.4221      351.955
15.9177          -12.1796      387.334
15.9179          -12.9173      424.615
15.9180          -13.6373      463.954
15.9182          -14.3415      505.527
15.9183          -15.0322      549.530
15.9185          -15.7111      596.182
15.9186          -16.3802      645.730
15.9188          -17.0412      698.452
15.9189          -17.6958      754.662
15.9191          -18.3457      814.720
15.9192          -18.9926      879.034
15.9194          -19.6380      948.072
15.9195          -20.2836      1022.38
15.9197          -20.9311      1102.57
15.9198          -21.5820      1189.38
15.9200          -22.2382      1283.67
15.9201          -22.9017      1386.44
15.9203          -23.5742      1498.89
15.9204          -24.2581      1622.45
15.9206          -24.9558      1758.86
15.9207          -25.6699      1910.23
15.9209          -26.4034      2079.14
15.9210          -27.1599      2268.85
15.9212          -27.9434      2483.43
15.9213          -28.7587      2728.11
15.9215          -29.6115      3009.68
15.9216          -30.5089      3337.15
15.9218          -31.4595      3722.68
15.9219          -32.4745      4183.16
15.9221          -33.5681      4742.69
15.9222          -34.7596      5436.83
15.9224          -36.0754      6320.37
15.9225          -37.5533      7482.07
15.9227          -39.2506      9075.36
15.9228          -41.2592      11388.2
15.9230          -43.7402      15022.2
15.9231          -47.0098      21405.1
15.9233          -51.7623      33810.4
15.9234          -58.0634      20548.1
15.9236          -54.2823     -41281.2
15.9237          -49.0679     -26895.2
15.9239          -45.7093     -18850.4
15.9240          -43.3255     -14476.5
15.9242          -41.5020     -11789.8
15.9243          -40.0373     -9984.68
15.9245          -38.8208     -8692.22
15.9246          -37.7856     -7722.57
15.9248          -36.8883     -6968.82
15.9249          -36.0992     -6366.37
15.9252          -34.7671     -5464.08
15.9254          -34.1967     -5117.60
15.9255          -33.6768     -4820.91
15.9257          -33.2003     -4564.01
15.9258          -32.7613     -4339.42
15.9260          -32.3551     -4141.40
15.9261          -31.9777     -3965.52
15.9263          -31.6259     -3808.25
15.9264          -31.2969     -3666.80
15.9266          -30.9883     -3538.89
15.9267          -30.6981     -3422.68
15.9269          -30.4246     -3316.62
15.9270          -30.1662     -3219.45
15.9272          -29.9217     -3130.08
15.9273          -29.6898     -3047.63
15.9275          -29.4696     -2971.31
15.9276          -29.2600     -2900.47
15.9278          -29.0603     -2834.54
15.9279          -28.8698     -2773.02
15.9281          -28.6877     -2715.49
15.9282          -28.5136     -2661.57
15.9284          -28.3468     -2610.92
15.9285          -28.1870     -2563.27
15.9287          -28.0335     -2518.36
15.9288          -27.8861     -2475.95
15.9290          -27.7443     -2435.84
15.9291          -27.6079     -2397.84
15.9293          -27.4765     -2361.81
15.9294          -27.3498     -2327.58
15.9296          -27.2276     -2295.02
15.9297          -27.1097     -2264.02
15.9299          -26.9957     -2234.47
15.9300          -26.8855     -2206.27
15.9302          -26.7789     -2179.32
15.9303          -26.6757     -2153.55
15.9305          -26.5757     -2128.87
15.9306          -26.4789     -2105.23
15.9308          -26.3850     -2082.56
15.9309          -26.2939     -2060.79
15.9311          -26.2054     -2039.88
15.9312          -26.1196     -2019.78
15.9314          -26.0361     -2000.44
15.9315          -25.9550     -1981.82
15.9317          -25.8762     -1963.87
15.9318          -25.7994     -1946.57
15.9320          -25.7248     -1929.87
15.9321          -25.6521     -1913.75
15.9323          -25.5813     -1898.18
15.9324          -25.5123     -1883.13
15.9326          -25.4450     -1868.58
15.9327          -25.3794     -1854.49
15.9329          -25.3155     -1840.85
15.9330          -25.2530     -1827.64
15.9332          -25.1921     -1814.84
15.9333          -25.1326     -1802.43
15.9335          -25.0746     -1790.38
15.9336          -25.0178     -1778.69
15.9338          -24.9623     -1767.34
15.9339          -24.9081     -1756.32
15.9341          -24.8551     -1745.61
15.9342          -24.8033     -1735.19
15.9344          -24.7526     -1725.06
15.9345          -24.7029     -1715.21
15.9347          -24.6544     -1705.61
15.9348          -24.6068     -1696.27
15.9350          -24.5602     -1687.18
15.9351          -24.5146     -1678.31
15.9353          -24.4699     -1669.67
15.9354          -24.4261     -1661.25
15.9356          -24.3832     -1653.04
15.9357          -24.3411     -1645.02
15.9359          -24.2998     -1637.20
15.9360          -24.2594     -1629.57
15.9362          -24.2197     -1622.11
15.9363          -24.1807     -1614.83
15.9365          -24.1425     -1607.72
15.9366          -24.1050     -1600.76
15.9368          -24.0681     -1593.97
15.9369          -24.0320     -1587.32
15.9371          -23.9965     -1580.83
15.9372          -23.9616     -1574.47
15.9374          -23.9273     -1568.25
15.9375          -23.8937     -1562.16
15.9377          -23.8606     -1556.20
15.9378          -23.8280     -1550.36
15.9380          -23.7961     -1544.65
15.9381          -23.7647     -1539.05
15.9383          -23.7338     -1533.56
15.9384          -23.7034     -1528.19
15.9386          -23.6735     -1522.92
15.9387          -23.6441     -1517.75
15.9389          -23.6151     -1512.69
15.9390          -23.5867     -1507.72
15.9392          -23.5587     -1502.84
15.9393          -23.5311     -1498.06
15.9395          -23.5039     -1493.37
15.9396          -23.4772     -1488.76
15.9398          -23.4509     -1484.24
15.9399          -23.4250     -1479.80
15.9401          -23.3995     -1475.44
15.9402          -23.3743     -1471.16
15.9404          -23.3496     -1466.96
15.9405          -23.3252     -1462.83
15.9407          -23.3011     -1458.77
15.9408          -23.2774     -1454.78
15.9410          -23.2541     -1450.85
15.9411          -23.2311     -1447.00
15.9413          -23.2084     -1443.21
15.9414          -23.1860     -1439.48
15.9416          -23.1640     -1435.81
15.9417          -23.1422     -1432.21
15.9419          -23.1208     -1428.66
15.9420          -23.0996     -1425.17
15.9422          -23.0787     -1421.73
15.9423          -23.0581     -1418.35
15.9425          -23.0378     -1415.03
15.9426          -23.0178     -1411.75
15.9428          -22.9980     -1408.53
15.9429          -22.9785     -1405.35
15.9431          -22.9593     -1402.23
15.9432          -22.9403     -1399.15
15.9434          -22.9215     -1396.11
15.9435          -22.9030     -1393.12
15.9437          -22.8847     -1390.18
15.9438          -22.8666     -1387.28
15.9440          -22.8488     -1384.42
15.9441          -22.8312     -1381.61
15.9443          -22.8138     -1378.83
15.9444          -22.7966     -1376.09
15.9446          -22.7796     -1373.39
15.9447          -22.7629     -1370.73
15.9449          -22.7463     -1368.11
15.9450          -22.7300     -1365.52
15.9452          -22.7138     -1362.97
15.9453          -22.6978     -1360.46
15.9455          -22.6821     -1357.97
15.9456          -22.6665     -1355.53
15.9458          -22.6510     -1353.11
15.9459          -22.6358     -1350.73
15.9461          -22.6207     -1348.37
15.9462          -22.6058     -1346.05
15.9464          -22.5911     -1343.76
15.9465          -22.5766     -1341.50
15.9467          -22.5622     -1339.27
15.9468          -22.5479     -1337.06
15.9470          -22.5339     -1334.89
15.9471          -22.5199     -1332.74
15.9473          -22.5062     -1330.62
15.9474          -22.4926     -1328.52
15.9476          -22.4791     -1326.45
15.9477          -22.4658     -1324.41
15.9479          -22.4526     -1322.39
15.9480          -22.4395     -1320.40
15.9482          -22.4266     -1318.43
15.9483          -22.4139     -1316.48
15.9485          -22.4012     -1314.56
15.9486          -22.3887     -1312.66
15.9488          -22.3764     -1310.78
15.9489          -22.3641     -1308.92
15.9491          -22.3520     -1307.09
15.9492          -22.3400     -1305.27
15.9494          -22.3282     -1303.48
15.9495          -22.3164     -1301.71
15.9497          -22.3048     -1299.96
15.9498          -22.2933     -1298.23
15.9500          -22.2819     -1296.51
15.9502          -22.2706     -1294.82
15.9503          -22.2594     -1293.15
15.9505          -22.2483     -1291.49
15.9506          -22.2374     -1289.85
15.9508          -22.2265     -1288.23
15.9509          -22.2158     -1286.63
15.9511          -22.2051     -1285.05
15.9512          -22.1946     -1283.48
15.9514          -22.1841     -1281.93
15.9515          -22.1738     -1280.39
15.9517          -22.1635     -1278.87
15.9518          -22.1534     -1277.37
15.9520          -22.1433     -1275.89
15.9521          -22.1334     -1274.41
15.9523          -22.1235     -1272.96
15.9524          -22.1137     -1271.52
15.9526          -22.1040     -1270.09
15.9527          -22.0944     -1268.68
15.9529          -22.0849     -1267.28
15.9530          -22.0755     -1265.90
15.9532          -22.0661     -1264.53
15.9533          -22.0569     -1263.18
15.9535          -22.0477     -1261.83
15.9536          -22.0386     -1260.51
15.9538          -22.0296     -1259.19
15.9539          -22.0206     -1257.89
15.9541          -22.0118     -1256.60
15.9542          -22.0030     -1255.32
15.9544          -21.9943     -1254.05
15.9545          -21.9857     -1252.80
15.9547          -21.9771     -1251.56
15.9548          -21.9686     -1250.33
15.9550          -21.9602     -1249.11
